ID,business_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,visits_count
69,Reel Soul,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0
70,Super Star Fish Bar,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,0
71,Seoul Gaja,1,1,1,-1,1,-1,0,1,0,0,0,0,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,1,0,0,0,0
72,Spicer & Cole,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,0,1,0,-1,-1,0
73,Palomar Fish House & Bar,1,1,1,-1,1,-1,1,1,0,1,1,1,-1,1,-1,-1,1,1,0,1,-1,-1,0,1,1,-1,-1,-1,1,0,-1,1,0,0,-1,-1,0,-1,0,1,0,1,1,-1,-1,-1,1,1,0,0,0,0
74,The Blue Lagoon,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,0,1,1,-1,0,0
75,The Gallimaufry,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,0,0,0,1,-1,-1,0,0,-1,0,1,-1,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
76,Ramen Ya,1,1,1,-1,1,-1,0,1,0,0,0,1,-1,1,-1,-1,0,1,0,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,0,0,1,1,-1,-1,-1,1,1,0,-1,0,0
77,Ezo,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,0,1,1,-1,0,0
78,Simply Thai,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,1,0
